Year,Quarter,Month,Total_Sales
2005,2,5,236026.96000000005
2005,2,4,122717.83999999998
2005,1,3,142038.37000000002
2005,1,2,194653.26
2005,1,1,200400.1
2004,4,12,68119.57
2004,4,11,607927.53
2004,4,10,490628.47
2004,3,9,102017.92000000001
2004,3,8,349427.9099999999
2004,3,7,235135.44000000006
2004,2,6,226099.6200000001
2004,2,5,55918.28
2004,2,4,93611.08
2004,1,3,88225.99
2004,1,2,226537.56999999998
2004,1,1,187660.59
2003,4,11,544069.3099999999
2003,4,10,328024.99000000005
2003,3,9,140089.05000000005
2003,3,8,57413.31999999998
2003,3,7,70429.09
2003,2,6,49796.04
2003,2,5,121219.31
2003,2,4,136903.47
2003,1,3,91861.05999999997
2003,1,2,81965.08
2003,1,1,99323.95999999999
